relative_time,LinearAccelerometerSensor,AccX,AccY
103775,,,
103776,0.4237764740159936,9.867000579833984,-1.6500000953674316
103781,,9.570000648498535,
103782,,,-1.5640500783920288
103786,,9.354000091552734,
103787,,,-1.6549500226974487
103791,,9.103050231933594,
103792,,,-1.7479500770568848
103796,0.31522992543385575,,
103797,,8.902050018310547,-1.894050121307373
103801,,8.77695083618164,
103802,,,-2.0429999828338623
103806,,8.694000244140625,
103807,,,-2.281949996948242
103811,,8.70300006866455,-2.6130001544952393
103816,,8.767950057983398,-2.9569501876831055
103817,0.422763154476572,,
103822,,8.902050018310547,-3.3330001831054688
103826,,9.016950607299805,
103827,,,-3.6919500827789307
103832,,9.105000495910645,
103833,,,-3.9750001430511475
103836,,9.124950408935547,
103838,0.5823020561078454,,-4.272000312805176
103842,,9.187050819396973,-4.540050029754639
103846,,9.189000129699707,
103849,,,-4.734000205993652
103851,,9.151050567626953,
103852,,,-4.8510003089904785
103855,,,
103856,0.6973652915354024,,
103857,,9.0600004196167,-4.924950122833252
103861,,9.07395076751709,
103862,,,-5.004000186920166
103866,,9.02595043182373,
103867,,,-4.915950298309326
103871,,9.04800033569336,
103872,,,-4.936950206756592
103876,,9.103050231933594,
103878,0.6792855663795075,,-4.987950325012207
103881,,9.148050308227539,
103882,,,-4.806000232696533
103887,,9.168000221252441,-4.762950420379639
103892,,9.36405086517334,-4.813050270080566
103897,,9.481050491333008,
103898,,,-4.593000411987305
103899,0.6266931487974269,,
103902,,9.62700080871582,
103904,,,-4.33905029296875
103908,,,-4.066050052642822
103909,,9.79995059967041,
103911,,,
103912,,9.922050476074219,-3.721050262451172
103918,,9.952950477600098,-3.361950159072876
103921,0.5185503770896946,,
103923,,9.916950225830078,
103924,,,-2.968950033187866
103927,,,
103928,,9.784950256347656,-2.55495023727417
103932,,9.622950553894043,-2.0910000801086426
103936,,,
103937,0.3775372303357295,9.440999984741211,-1.741050124168396
103942,,9.241950035095215,
103947,,8.988000869750977,
103948,,,-1.4610000848770142
103954,,8.655000686645508,-1.4010000228881836
103957,,8.380050659179688,
